city_id,city_name,country_code,latitude,longitude,date,max_temp,humidity,cloudiness,wind_speed
69,busselton,au,-33.644499,115.3488754,1518512807,73.03,91,0,17.02
70,khatanga,ru,25.2475871,55.16258745,1518512783,-15.63,70,32,4.16
71,nabire,id,-3.2048097,135.975494347338,1518512813,70.15,99,92,1.92
72,mount gambier,au,-37.8301386,140.7842627,1518512813,73.07,44,20,6.96
73,atuona,pf,-9.8037347,-139.0425737,1518512814,80.54,100,100,14.67
74,bredasdorp,za,-34.533055,20.042778,1518508800,71.6,78,90,17.22
75,bethel,us,60.7922222,-161.7558333,1518508380,23.0,92,1,9.17
76,rikitea,pf,-23.1227669,-134.9672684,1518512794,81.22,96,20,19.37
77,bourail,nc,-21.5669549,165.4968115,1518512816,73.66,89,92,9.75
78,ozernovskiy,ru,51.497829,156.506836,1518512817,24.34,84,76,22.5
79,villaviciosa,es,43.4813318,-5.4334618,1518512400,46.4,81,75,12.75
80,talnakh,ru,69.4918008,88.4238928,1518512782,-2.22,83,88,10.65
81,butaritari,ki,3.1585,172.83785703125,1518512819,82.66,100,20,20.83
82,rikitea,pf,-23.1227669,-134.9672684,1518512794,81.22,96,20,19.37
83,necochea,ar,-38.5545049,-58.7392705,1518512820,58.09,66,0,12.77
84,mantena,br,-18.7809937,-40.9808279,1518512820,71.32,96,92,4.16
85,yellowknife,ca,62.4709394,-114.4384901,1518508800,-0.41,84,90,5.82
86,hilo,us,19.707243,-155.081635,1518508380,73.4,78,90,3.36
87,iqaluit,ca,63.7585754,-68.5604284,1518509880,-40.01,65,5,2.24
88,kisaran,id,2.9784978,99.6154609,1518512822,89.54,54,24,3.94
89,talnakh,ru,69.4918008,88.4238928,1518512782,-2.22,83,88,10.65
90,busselton,au,-33.644499,115.3488754,1518512807,73.03,91,0,17.02
91,sola,vu,58.88208225,5.35625424538838,1518512823,81.44,96,12,5.39
92,pindi gheb,pk,33.2414702,72.2713789,1518512824,54.04,100,56,6.4
93,doha,qa,25.3014957,51.4996673988223,1518508800,78.8,44,0,11.41
94,mukhtolovo,ru,55.4677567,43.2005045,1518512825,17.95,91,80,4.61
95,port alfred,za,-33.5981844,26.8914772,1518512793,70.78,98,92,13.78
96,new norfolk,au,-42.7801998,147.0615332,1518508800,66.2,59,75,9.17
97,amapa,br,21.7844465,-105.254711,1518512825,73.16,97,80,2.48
98,ancud,cl,-41.8681947,-73.8287513,1518512826,48.82,89,0,5.95
99,saskylakh,ru,71.9649533,114.0939433,1518512827,-5.55,84,68,11.65
100,jamestown,sh,42.0970023,-79.2353259,1518512827,71.36,100,100,19.6
101,vredendal,za,-31.679444,18.492222,1518512828,100.39,25,0,9.31
102,yellowknife,ca,62.4709394,-114.4384901,1518508800,-0.41,84,90,5.82
