city_id,city_name,country_code,latitude,longitude,date,max_temp,humidity,cloudiness,wind_speed
706,haines junction,ca,62.6534,-142.5099,1552584650,22.6,75,12,3.38
708,tacoronte,es,29.8616,-16.5984,1552584977,70,82,20,5.82
709,goedereede,nl,52.4351,3.3842,1552584736,52,71,92,26.4
710,correntina,br,-14.2802,-45.0878,1552585011,96.31,31,0,5.39
711,caravelas,br,-20.8128,-33.9879,1552584831,83.44,100,0,17.81
712,punta arenas,cl,-84.3429,-119.7891,1552584203,59,62,40,16.11
713,ushuaia,ar,-84.8568,-62.2451,1552582800,57.2,54,20,6.85
714,ushuaia,ar,-82.6311,-56.8232,1552582800,57.2,54,20,6.85
715,sibolga,id,2.2631,98.0534,1552584495,66.79,100,0,2.04
716,kapaa,us,28.6323,-157.4414,1552584501,69.8,83,75,3.36
717,cape town,za,-79.7105,-11.9076,1552584492,78.01,64,0,11.41
718,cape town,za,-43.8744,5.6189,1552584492,78.01,64,0,11.41
719,iqaluit,ca,65.0036,-76.6691,1552582800,-5.81,70,5,2.24
720,galveston,us,28.9585,-94.9112,1552585000,62.01,93,90,17.22
721,saint george,bm,30.3741,-56.9503,1552584690,64.99,51,75,9.17
722,port alfred,za,-46.0762,34.5024,1552584580,68,94,88,3.94
723,vaini,to,-56.1944,-168.5684,1552582800,77,94,90,5.82
724,jamestown,sh,-9.982,1.3357,1552584528,76.24,100,80,15.68
725,vaini,to,-82.4421,-177.7944,1552582800,77,94,90,5.82
726,punta arenas,cl,-85.3207,-106.2892,1552584203,59,62,40,16.11
727,cap malheureux,mu,-11.8004,60.303,1552584544,80.6,74,75,2.59
728,quelimane,mz,-19.5504,37.625,1552585011,72.46,95,100,12.33
729,georgetown,sh,-8.397,-9.5822,1552584629,81.33,100,80,17.58
732,hithadhoo,mv,-12.8473,84.2323,1552584619,83.89,100,0,1.7
733,la ronge,ca,66.2043,-102.7566,1552582800,26.6,73,75,12.75
735,busselton,au,-37.1368,102.7162,1552584607,66,39,0,11.43
736,yellowknife,ca,69.9415,-116.4347,1552584614,3.99,77,20,9.17
737,pevek,ru,80.3308,171.4875,1552584613,-28.57,45,24,2.71
738,mahebourg,mu,-37.8503,69.8787,1552584544,80.6,74,75,3.71
739,san patricio,mx,13.3018,-108.9357,1552581840,86,70,20,3.6
741,maceio,br,-11.7694,-33.3583,1552582800,87.8,58,40,14.99
742,merritt island,us,29.7967,-78.6371,1552584732,82,51,40,17.22
743,new norfolk,au,-50.995,143.8181,1552584556,54,76,40,8.05
744,yulara,au,-22.3735,127.6939,1552582800,80.6,39,75,3.36
745,vaini,to,-68.0682,-173.0785,1552582800,77,94,90,5.82
746,severo-kurilsk,ru,34.2084,169.4127,1552584672,26.2,100,44,7.29
747,mar del plata,ar,-51.3848,-45.4238,1552584436,59.82,81,92,15.57
748,dikson,ru,89.2955,80.603,1552584656,6,96,88,19.82
749,virginia beach,us,35.6062,-73.5874,1552584933,73,46,75,12.75
750,nipawin,ca,53.9987,-103.1771,1552582800,21.2,79,75,2.24
751,new norfolk,au,-78.2049,125.0145,1552584556,54,76,40,8.05
752,lebu,cl,-32.1111,-104.329,1552584615,57.7,91,0,24.74
753,ushuaia,ar,-81.2337,-46.9125,1552582800,57.2,54,20,6.85
754,puerto ayora,ec,-3.2331,-106.9116,1552583779,80.6,74,0,10.29
755,lompoc,us,32.5849,-125.0507,1552584618,64,81,1,4.7
756,punta arenas,cl,-71.8899,-105.1222,1552584203,59,62,40,16.11
757,sikonge,tz,-5.5621,32.6179,1552582800,78.8,57,40,6.4
758,isangel,vu,-22.2107,175.0883,1552584662,80.74,100,12,5.17
759,bredasdorp,za,-74.5343,18.4224,1552584651,69.8,83,88,11.41
760,hobart,au,-44.0296,156.4449,1552584316,54,76,40,8.05
761,kedougou,sn,12.4447,-11.8715,1552585013,96.99,15,0,7.85
762,busselton,au,-43.6804,88.7665,1552584607,66,39,0,11.43
763,gotsu,jp,36.6031,131.0137,1552585013,34.17,91,0,6.96
764,rikitea,pf,-39.3847,-133.1353,1552584623,75.34,100,100,17.36
765,ilulissat,gl,78.8619,-47.6009,1552582200,6.8,60,75,8.05
767,barrow,us,88.2551,-167.7567,1552584647,61,58,1,25.28
768,barrow,us,75.076,-148.864,1552584647,61,58,1,25.28
771,carnarvon,au,-26.4498,91.2006,1552582800,77,83,88,9.17
772,cascais,pt,37.2579,-12.8068,1552584723,69.8,59,0,12.75
773,alofi,nu,-20.6897,-166.7604,1552579200,75.2,94,68,4.7
774,puerto ayora,ec,-16.375,-103.114,1552583779,80.6,74,0,10.29
775,vilhena,br,-12.4597,-60.1601,1552579200,84.2,66,0,1.12
776,rikitea,pf,-58.5152,-122.1459,1552584623,75.34,100,100,17.36
777,vysokogornyy,ru,50.9501,139.2915,1552584620,10.9,78,48,2.26
778,mount gambier,au,-54.7554,128.314,1552582920,48.2,93,75,1.7
779,east london,za,-63.0414,45.6824,1552582800,66.2,93,20,3.36
780,chokurdakh,ru,88.374,155.3115,1552584655,-20.47,29,56,2.93
781,carnarvon,au,-20.2243,103.8984,1552582800,77,83,88,9.17
782,punta arenas,cl,-76.8007,-103.7217,1552584203,59,62,40,16.11
783,umm lajj,sa,24.1895,37.3221,1552585008,63.87,95,0,10.65
784,bilibino,ru,66.2192,164.4549,1552584692,-23.08,32,68,2.15
786,ushuaia,ar,-71.2623,-55.0677,1552582800,57.2,54,20,6.85
787,tuatapere,nz,-56.3328,159.4841,1552584608,43,92,0,1.01
788,saldanha,za,-36.3429,10.7081,1552579200,80.6,47,12,12.75
789,yellowknife,ca,90.062,-107.9234,1552584614,3.99,77,20,9.17
790,atuona,pf,4.0282,-124.2312,1552584652,82.09,100,20,15.46
791,veraval,in,17.0974,66.8797,1552585014,74.71,53,0,14.79
794,pisco,pe,-28.205,-99.3201,1552582800,71.6,30,20,11.41
795,wucheng,cn,29.7159,117.7865,1552584999,53.01,99,92,2.37
796,abu kamal,sy,33.1661,39.7673,1552585014,53.2,63,20,12.55
797,tuatapere,nz,-64.5898,154.6873,1552584608,43,92,0,1.01
798,avarua,ck,-17.0526,-162.4107,1552582800,80.6,78,56,14.99
800,rikitea,pf,-56.7108,-118.6526,1552584623,75.34,100,100,17.36
801,cape town,za,-60.7869,-5.9263,1552584492,78.01,64,0,11.41
802,nelson bay,au,-32.7145,152.3569,1552584631,68,88,90,4.7
803,grand gaube,mu,-16.4822,61.5849,1552584544,80.6,74,75,2.59
804,panama city,us,27.4409,-86.8585,1552584667,77,69,1,23.04
805,rikitea,pf,-18.4812,-134.2308,1552584623,75.34,100,100,17.36
806,vaini,to,-76.0429,-174.5452,1552582800,77,94,90,5.82
807,jamestown,sh,-37.5443,-10.5547,1552584528,76.24,100,80,15.68
808,palauig,ph,14.4486,116.0901,1552585015,75.3,97,68,3.27
810,chuy,uy,-65.099,-23.6257,1552584640,75.12,88,64,11.65
812,busselton,au,-35.7176,109.8717,1552584607,66,39,0,11.43
814,prachuap khiri khan,th,11.6532,100.7529,1552585015,73.5,86,0,2.15
815,arraial do cabo,br,-30.0823,-38.482,1552582800,91.4,70,20,12.75
816,punta arenas,cl,-78.5591,-109.0112,1552584203,59,62,40,16.11
817,grindavik,is,60.8153,-25.7874,1552582800,39.2,93,40,9.17
818,havre-saint-pierre,ca,56.0207,-63.3657,1552582800,32,100,40,9.17
819,merville,fr,50.6091,2.7115,1552585010,52,81,88,18.34
820,hirara,jp,22.8001,127.6044,1552584822,70.44,100,100,10.65
821,zauralskiy,ru,54.7629,61.222,1552582800,24.8,92,75,17.9
822,grand-santi,gf,2.3581,-54.7049,1552585016,86.86,65,80,2.93
823,porto novo,cv,16.3502,-26.6951,1552582800,78.8,57,40,25.28
824,bluff,nz,-79.7473,159.9222,1552584608,43,92,0,1.01
825,luwuk,id,-1.172,122.9467,1552584766,77.82,94,76,3.6
826,bredasdorp,za,-77.3483,19.315,1552584651,69.8,83,88,11.41
827,punta arenas,cl,-85.8183,-122.7403,1552584203,59,62,40,16.11
828,pimentel,pe,-9.3621,-83.5089,1552582800,66.2,29,40,9.17
829,tuktoyaktuk,ca,75.1485,-126.1326,1552582800,-16.61,75,90,16.11
830,rio grande,br,-39.0805,-43.5723,1552582800,77,57,75,11.41
831,grindavik,is,56.3334,-28.7965,1552582800,39.2,93,40,9.17
832,rikitea,pf,-78.1336,-131.2857,1552584623,75.34,100,100,17.36
835,grieskirchen,at,48.1957,13.8363,1552585000,41,86,75,9.17
836,rikitea,pf,-31.6231,-120.5772,1552584623,75.34,100,100,17.36
837,nikolskoye,ru,39.3272,173.8245,1552584413,32,89,90,11.18
838,grenaa,dk,56.3267,10.8151,1552584740,41,100,92,3.36
839,hilo,us,34.1384,-143.6035,1552584378,66.99,88,90,5.82
840,busselton,au,-49.4294,106.1451,1552584607,66,39,0,11.43
841,marathon,ca,48.0775,-85.9903,1552583400,41,100,90,16.11
842,butaritari,ki,4.326,162.5094,1552584618,78.9,100,92,12.21
843,bluff,nz,-58.3471,170.8278,1552584608,43,92,0,1.01
844,chitungwiza,zw,-18.1103,31.079,1552585017,70.57,61,64,12.44
845,butaritari,ki,18.9034,164.7659,1552584618,78.9,100,92,12.21
846,motta di livenza,it,45.8092,12.6129,1552584965,50,81,0,8.05
847,port alfred,za,-62.5776,40.3303,1552584580,68,94,88,3.94
848,rikitea,pf,-72.5159,-126.6402,1552584623,75.34,100,100,17.36
849,kamyshin,ru,49.9204,46.0447,1552585017,13.96,63,0,3.15
850,rikitea,pf,-65.9446,-134.3037,1552584623,75.34,100,100,17.36
852,kodiak,us,60.5702,-156.0675,1552584504,39.99,100,90,19.46
853,dikson,ru,76.0313,83.5873,1552584656,6,96,88,19.82
854,arraial do cabo,br,-56.244,-19.4979,1552582800,91.4,70,20,12.75
855,gaziantep,tr,37.2739,37.1202,1552584475,48.2,87,75,6.93
856,coquimbo,cl,-26.2992,-83.1305,1552582800,62.6,82,90,6.93
858,kapit,my,1.4722,114.1676,1552585017,71.7,97,92,2.59
859,rikitea,pf,-55.0346,-130.4417,1552584623,75.34,100,100,17.36
860,victor harbor,au,-36.4806,139.4519,1552584939,61,77,0,8.05
861,hilo,us,5.6582,-158.9898,1552584378,66.99,88,90,5.82
862,clyde river,ca,73.1301,-68.7452,1552582800,-4.01,76,75,4.7
863,xuddur,so,4.989,44.191,1552585018,82.14,35,0,10.54
864,dolores,ar,-36.8596,-56.8385,1552585018,74.13,75,64,9.53
865,albany,au,-54.4689,109.6805,1552582800,55.4,87,0,8.05
866,sao filipe,cv,13.7055,-29.9707,1552584824,76.6,77,0,12.77
867,kazachinskoye,ru,57.3699,92.9236,1552585018,32.86,88,88,6.4
868,salalah,om,16.6017,49.5796,1552582200,77,69,40,4.7
869,east london,za,-56.7365,41.7721,1552582800,66.2,93,20,3.36
870,kruisfontein,za,-40.9131,24.6463,1552584626,66.16,86,0,7.29
871,rikitea,pf,-34.5074,-141.378,1552584623,75.34,100,100,17.36
873,jamestown,sh,-15.4872,2.3206,1552584528,76.24,100,80,15.68
874,chokurdakh,ru,75.2898,149.0468,1552584655,-20.47,29,56,2.93
875,shambu,et,10.0624,36.3529,1552585019,61.84,70,56,2.37
876,ushuaia,ar,-88.1018,-68.9802,1552582800,57.2,54,20,6.85
877,punta arenas,cl,-64.1289,-106.9389,1552584203,59,62,40,16.11
878,touros,br,1.8566,-26.0429,1552582800,87.8,70,40,14.99
879,lavrentiya,ru,62.2128,-170.0008,1552584631,21.3,89,36,25.19
880,tuktoyaktuk,ca,80.901,-122.4106,1552582800,-16.61,75,90,16.11
881,ushuaia,ar,-58.4203,-47.4326,1552582800,57.2,54,20,6.85
883,hobart,au,-60.8671,148.2763,1552584316,54,76,40,8.05
